Ligand SMILES,SScore
N#Cc1ccc(Cn2cncc2CNC2CCN(C(=O)c3c[nH]c4ncccc34)C2)n1C,0.8453876
CC(C)N1CCC(CNCc2cnc(Nc3ccc(F)nc3)n2C)CC1,0.86050683
CC(=O)NC(C)Cc1ccc(C#Cc2cnc(N3CC4CCC(C3)O4)nn2)cc1,0.9723891
COc1cc(Nc2[nH]nc3ncn(C)c(=O)c23)c(F)cc1N,0.8659323
N#CC1CC(F)CCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,1.0252458
N#CC1CC(O)CCC1n1cc(C(N)=O)c(Nc2cccc(F)c2)n1,0.8192835
NC(=O)c1cnn2ccc(nc12)N1CCCN(C(=O)c2cncnc2)CC1,0.8118527
N#Cc1cn(-c2ccc(C(N)=O)c(Nc3ccnc4[nH]ccc34)c2)c(C(N)=O)c1,0.856845
N#CC1CC(O)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0.9487333
CC(NC(=O)c1c[nH]c2ncc(nc12)C1CC1)C(=O)N1CCCc2ccccc21,0.8109163
NC(=O)c1cnn2ccc(nc12)N1CCCc2[nH]nc(CO)c21,0.8373051
NC(=O)c1c[nH]c2ccnc(NC3CCCNC3)c12,0.9343253
N#CC1CC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(N)=N1,0.8306557
O=C(NC1CC1)c1cnn2ccc(nc12)N1CCC2CC1CN2CCC1CC1,0.8602876
O=C(Nc1ccc(Nc2ncc(F)c(N3CCC(C(N)=O)CC3)n2)cc1)C1CC1,0.8134754
COc1cc(Nc2ccnc3cc(-c4cn[nH]c4)ccc23)ccc1N,0.84011734
CN(Cc1cn(C)nc1)n1cc(C(N)=O)c(Nc2ccc(C#N)cc2)n1,0.82411355
N#CN1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccncc2)n1,0.98428553
CCOC(=O)N1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,0.85308766
Cn1cc(Nc2ncc(Cl)c(NC3CC4CNCC4C3)n2)cn1,0.8640272
Fc1cnc(N2CCc3cnc(Nc4ccnnc4)nc32)n1CCC1COCC1,0.9383439
FC1CNCCC1n1cc(C(N)=O)c(Nc2ccnc3cc(Cl)ccc23)n1,0.8675414
CC(C)(C)N1CC(n2nc(N)cc2)c2c(cnc3[nH]ccc23)C1,0.85684013
N#CNc1c(-c2ccc(C(N)=O)cc2)ncnc1NC1CCCNCC1,0.8535022
NC(=O)c1cn(nc1Nc1cccc(F)c1)C1CCCCC1,0.8211755
CN1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.9956513
CCOC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0.8263172
N#Cc1ccc(N2CCOCC2)c(NC(=O)c2ccc3nc(NC4CC4)nn3c2)n1,0.92212844
N#CNc1c(-c2c[nH]c3ccccc23)n(C2CCC(CN)CC2)nc1N,0.80246526
Cn1cc(Nc2ncc(Cl)c(NC3CC4CN(CC4C3)S(C)(=O)=O)n2)nn1,0.8948225
Cn1cc(C(F)F)c(Nc2ccnc3[nH]ccc23)n1,0.82127714
N#CN1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccn2)n1,0.8574954
CC(=O)N1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,0.9556294
CC(C)(C)C(=O)N1CC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0.9704247
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1(CC#N)CCCCC1,0.8626364
N#Cc1cn(nc1Nc1ccc(F)cc1)C1(CC#N)CCC(NCC2CC2)CC1,0.97792155
NNC(=O)c1cn(nc1Nc1ccc(F)cc1)C1CCCCC1C#N,0.816578
CC(NC(=O)c1c[nH]c2ncc(nc12)C1CC1)C(=O)N1CCC(CC#N)C1,1.0143144
N#CN1CCCc2cc(Nc3ncc(Cl)c(Nc4cccnc4)n3)nc(N)c21,0.8347211
CC(=O)N1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,0.96388704
NC(=O)c1cn(nc1Nc1ccc(F)cc1)c1cnc2[nH]ccc2c1,0.8278791
C#CC(=O)N1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccc(F)c(F)c2)n1,0.8369416
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1CCCCC1,0.9108483
N#Cc1cc(F)cc(n1)n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,0.88344866
Cn1cc(-c2cnc3[nH]cc(C(N)=O)c3n2)cn1,0.93100476
Cn1cc(Nc2ncc(Cl)c(NC3CC4CNCC4C3)n2)cn1,0.89857167
NC(=O)c1cnn2ccc(nc12)N1CCCC1c1cncc(F)c1,0.8553774
CC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)c(F)c3)n2)c2nn(C)cc21,0.8539512
CN(C)C(=O)c1cn(nc1Nc1ccc(F)c(Cl)c1)C1CCCCC1,0.81492054
CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0.8073917
CN(C)S(=O)(=O)c1cncc(Nc2nccc(Nc3ccnn3C)n2)n1,0.8069037
NC(=O)c1c[nH]c2ncc(C3CCCNC3)nc12,0.80846936
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1(CC#N)CCC(CC1)N1CCC#C1,0.8158728
CC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.8433688
COCCN1CC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0.87987316
CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.91234434
CN1CCC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccc(F)c(Cl)c2)n1,1.0160424
N#Cc1ccc(Nc2nn(-c3cccnc3)c(C(N)=O)c2)nc1,0.9238657
Cn1cc(Nc2ncc(Cl)c(NC3CC4CNCC4C3)n2)cn1,0.81474024
CC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.99231213
Cc1cnn(Cc2nc(F)c(F)c(Nc3cnc4n[nH]c(C)c4n3)n2)c1,0.81973916
CC(Cl)CC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2cccnc2)n1,0.9181119
CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)c(F)c2)n1,0.8489858
N#CNc1cn(nc1Nc1ccc(Cl)cc1)C1(CC#N)CCC(CC1)OCCO,0.8097723
CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.84682566
NC(=O)c1cn(nc1Nc1ccc(Cl)cc1)C1(CC#N)CCC(=O)CC1,0.85680544
NC(=O)c1cnc2[nH]ccc2c1N1CCC(CF)C1,0.91504633
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1CCCCC1,0.93686116
NCC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.946169
NC(=O)c1c[nH]c2ncc(C3CC3)nc12,0.82531404
N#CN1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.8099951
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1(CC#N)CCC(=O)CCC1,0.92590684
N#Cc1cc(F)c(F)cc1-n1cc(C(N)=O)c(Nc2ccccc2)n1,0.82643527
CC(C)(C)OC(=O)N1CCC(NC(=O)c2c[nH]c3ncc(-c4cnn(C)c4)nc23)C1,0.80043024
NC(=O)c1cn(nc1Nc1cccc(F)c1)C1CCC(CC1)N1CNC1,0.92090034
NC(=O)c1cnn2ccc(nc12)N1CCCC1c1cncc(F)c1,0.9022613
CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(F)c(F)c2)n1,0.9670315
CC(=O)N1CC(CC#N)(C1)n1cc(C(N)=O)c(Nc2ccccc2)n1,0.90212584
CN(C)S(=O)(=O)c1cncc(Nc2ncc(Cl)c(NC3CC4CN(C4)C3)n2)c1,0.9650414
NC(=O)c1cn(nc1Nc1ccc(F)cc1)[N+]1Cc2c(F)cccc2N(C)C1C#N,0.85605913
